Idx LH_Engine RH_Engine
0 1389.21 1389.21
1 1425.01 1425.01
2 1474.4 1474.4
3 1530.11 1530.11
4 1325.48 1325.48
5 1265.65 1265.65
6 1190.96 1190.96
7 1317.82 1317.82
8 1319.05 1319.05
