1520.952 0.381 -0.448 0.0972704 0.102436
1520.952 0.334 -0.611 0.0786227 0.0839146
1520.952 0.289 -1.567 0.0647629 0.0671569
1520.952 0.243 -1.736 0.056699 0.062369
1520.952 0.206 -1.536 0.0545571 0.059723
1569.72 0.185 -1.407 0.061109 0.0661489
2121.408 0.266 2.176 0.0546831 0.060227
2100.072 0.251 2.1818 0.0546831 0.059975
2154.936 0.236 2.6147 0.0541791 0.059723
2206.752 0.219 3.0405 0.0535491 0.059849
1941.576 0.278 1.642 0.0561951 0.061487
1810.512 0.293 0.885 0.057203 0.0626209
1612.392 0.311 -0.6543 0.058841 0.0642589
1716.024 0.267 -0.0509 0.057203 0.0627469
1679.448 0.265 -0.8454 0.057707 0.0629989
